,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
116,Saskylakh,100,RU,1562887851,72,71.97,114.09,56.21,15.03
117,Half Moon Bay,90,US,1562887593,93,37.46,-122.43,80.01,12.75
118,Nishihara,90,JP,1562887853,100,35.74,139.53,71.01,5.82
119,Puerto Rondon,96,CO,1562887854,94,6.28,-71.1,73.49,1.86
120,Yulara,100,AU,1562887856,36,-25.24,130.99,48.2,6.93
121,East London,0,ZA,1562887857,76,-33.02,27.91,54.59,9.31
122,Lagoa,40,PT,1562887858,94,37.14,-8.45,71.01,4.7
123,Mahenge,6,TZ,1562887859,69,-8.68,36.72,64.85,3.67
124,Kununurra,64,AU,1562887860,37,-15.77,128.74,71.6,6.93
125,Vila do Maio,20,CV,1562887862,73,15.13,-23.22,75.2,17.22
126,Jangipur,88,IN,1562887863,87,24.46,88.11,81.95,5.84
127,Juneau,90,US,1562887864,72,58.3,-134.42,64.4,9.17
128,New Norfolk,75,AU,1562887865,61,-42.78,147.06,48.2,19.46
129,La Seyne-sur-Mer,0,FR,1562887867,69,43.1,5.88,80.01,12.75
130,Terrace Bay,11,CA,1562887868,42,48.78,-87.1,74.39,6.71
131,Channel-Port aux Basques,15,CA,1562887869,87,47.57,-59.14,50.63,14.67
132,Clyde River,90,CA,1562887595,81,70.47,-68.59,50.0,19.46
133,Giyani,0,ZA,1562887871,32,-23.32,30.73,60.71,3.49
134,Cap Malheureux,20,MU,1562887727,88,-19.98,57.61,68.0,4.7
135,Edea,75,CM,1562887874,100,3.8,10.13,75.2,2.24
136,Krasnystaw,0,PL,1562887875,87,50.98,23.16,55.4,6.93
137,Gadag,100,IN,1562887876,85,15.43,75.63,72.23,16.37
138,Fairbanks,90,US,1562887832,50,64.84,-147.72,82.4,3.36
139,Qaanaaq,0,GL,1562887878,48,77.48,-69.36,46.67,7.92
140,Mossendjo,100,CG,1562887880,93,-2.95,12.72,66.65,2.26
141,Tuktoyaktuk,90,CA,1562887881,86,69.44,-133.03,39.2,16.11
142,Northam,20,AU,1562887882,93,-31.65,116.67,44.6,3.36
143,Hobart,75,AU,1562887659,61,-42.88,147.33,48.2,19.46
144,Rawson,0,AR,1562887884,53,-43.3,-65.11,45.41,4.61
145,High Level,40,CA,1562887886,22,58.52,-117.13,80.6,10.29
146,Monywa,100,MM,1562887887,72,22.12,95.13,81.23,15.61
147,Pitea,13,SE,1562887888,81,65.32,21.48,50.0,2.33
148,Marfino,40,RU,1562887889,93,56.07,37.56,53.6,6.71
149,Husavik,87,CA,1562887766,45,50.56,-96.99,82.99,8.01
150,Tasiilaq,11,GL,1562887865,72,65.61,-37.64,35.33,3.62
151,Cidreira,85,BR,1562887893,76,-30.17,-50.22,60.71,8.03
152,San Ignacio,37,PE,1562887894,73,-5.15,-79.0,63.41,2.42
153,Luwuk,100,ID,1562887895,96,-0.95,122.79,64.49,5.53
154,Telsiai,5,LT,1562887896,98,55.98,22.25,47.03,4.07
155,Chernyshevskiy,44,RU,1562887898,58,63.01,112.47,70.07,5.77
156,Ossora,59,RU,1562887899,68,59.24,163.07,59.99,6.87
157,Codrington,0,AU,1562887900,62,-28.95,153.24,64.4,9.17
158,Ucluelet,75,CA,1562887901,93,48.94,-125.55,75.0,6.93
159,Mabaruma,100,GY,1562887902,98,8.2,-59.78,74.21,1.9
160,La Ronge,75,CA,1562887904,72,55.1,-105.3,64.4,2.24
161,Torbay,90,CA,1562887905,100,47.66,-52.73,48.0,9.17
162,Sokoni,0,CD,1562887906,63,-12.89,28.78,46.85,5.44
163,Soure,0,PT,1562887907,88,40.06,-8.63,69.01,6.93
164,Zhengjiatun,100,CN,1562887908,80,43.51,123.51,70.07,5.68
165,Vila Velha,40,BR,1562887910,78,-3.71,-38.6,79.0,8.05
166,Tiarei,75,PF,1562887911,78,-17.53,-149.33,80.6,14.99
167,Meulaboh,68,ID,1562887912,80,4.14,96.13,81.77,7.29
168,Moranbah,14,AU,1562887913,36,-22.0,148.04,67.91,7.94
169,Jintur,100,IN,1562887914,82,19.61,76.69,76.19,10.76
170,Tiksi,99,RU,1562887915,76,71.64,128.87,47.75,19.06
171,San Policarpo,100,PH,1562887917,92,12.18,125.51,77.27,6.13
172,Kruisfontein,36,ZA,1562887918,82,-34.0,24.73,54.95,15.03
173,Kaitangata,100,NZ,1562887919,75,-46.28,169.85,46.99,1.99
174,Bridlington,32,GB,1562887920,87,54.08,-0.19,61.0,4.7
175,Witu,20,KE,1562887921,88,-2.39,40.44,78.8,7.14
176,Brae,57,GB,1562887923,87,60.4,-1.35,53.6,11.41
177,Goderich,30,CA,1562887746,75,43.74,-81.71,66.99,13.0
178,Thinadhoo,46,MV,1562887770,75,0.53,72.93,83.93,10.29
179,Beringovskiy,0,RU,1562887926,51,63.05,179.32,69.71,4.9
180,Calapi,93,PH,1562887927,97,11.94,125.02,73.67,1.92
181,Labuhan,2,ID,1562887928,85,-2.54,115.51,75.65,0.85
182,College,90,US,1562887930,50,64.86,-147.8,82.99,3.36
183,Huarmey,2,PE,1562887931,90,-10.07,-78.15,63.05,14.45
184,Chapadinha,69,BR,1562887932,97,-3.74,-43.35,72.05,3.09
185,Geraldton,75,CA,1562887933,43,49.72,-86.95,73.4,8.05
186,Kamenka,100,MD,1562887934,87,48.03,28.7,51.01,3.8
187,Scarborough,21,GB,1562887936,87,54.28,-0.41,59.0,4.7
188,Port-Gentil,20,GA,1562887937,88,-0.72,8.78,77.0,5.82
189,Bethel,90,US,1562887938,73,60.79,-161.76,69.8,9.17
190,Georgetown,40,GY,1562887880,78,6.8,-58.16,82.4,4.7
191,Mosquera,40,CO,1562887940,82,4.71,-74.23,59.0,6.93
192,Cabo San Lucas,5,MX,1562887763,48,22.89,-109.91,98.01,6.93
193,Dikson,78,RU,1562887943,94,73.51,80.55,34.43,10.27
194,Caravelas,30,BR,1562887779,70,-17.73,-39.27,71.69,6.71
195,Shanhetun,25,CN,1562887945,77,44.7,127.2,73.67,4.83
196,Bahir Dar,74,ET,1562887946,90,11.59,37.39,57.47,2.17
197,Mattawa,75,CA,1562887947,82,46.32,-78.7,73.0,4.7
198,Saint-Augustin,90,CA,1562887949,93,45.63,-73.98,71.01,4.7
199,Upernavik,16,GL,1562887950,86,72.79,-56.15,45.05,7.49
200,Esperance,90,AU,1562887951,100,-33.86,121.89,51.8,6.93
201,Pochutla,40,MX,1562887952,66,15.74,-96.47,86.0,6.93
202,General Pico,85,AR,1562887953,82,-35.66,-63.75,50.99,4.76
203,Opuwo,0,NA,1562887954,57,-18.06,13.84,46.85,1.59
204,Along,100,IN,1562887956,98,28.17,94.8,57.83,1.36
205,Lebu,75,ET,1562887779,87,8.96,38.73,55.4,11.41
206,Luau,0,CD,1562887958,35,-10.7,22.23,59.45,4.05
207,Salinas,1,US,1562887899,35,36.67,-121.66,88.0,10.29
208,Airai,0,TL,1562887960,59,-8.93,125.41,75.47,1.19
209,Aboisso,100,CI,1562887962,92,5.47,-3.21,72.05,4.32
210,Souillac,0,FR,1562887963,60,45.6,-0.6,69.8,5.82
211,Salgado de Sao Felix,0,BR,1562887964,83,-7.36,-35.44,75.2,6.93
212,Nouadhibou,13,MR,1562887965,73,20.93,-17.03,69.8,14.99
213,Erzin,0,TR,1562887831,69,36.95,36.2,82.0,6.93
214,Matamba,70,TZ,1562887968,95,-8.97,33.96,51.89,6.29
215,Lethem,54,GY,1562887969,81,3.38,-59.8,79.25,0.74
216,Dudinka,75,RU,1562887813,87,69.41,86.18,50.0,8.95
217,Muli,100,CN,1562887971,99,28.08,109.56,68.09,4.29
218,Srednekolymsk,9,RU,1562887752,31,67.46,153.71,85.55,8.14
219,Abbeville,0,FR,1562887973,88,50.11,1.83,62.6,5.82
220,Kokopo,98,PG,1562887975,58,-4.34,152.27,80.33,3.29
221,Chunoyar,0,RU,1562887976,56,57.45,97.32,61.61,4.65
222,Bucerias,75,MX,1562887977,70,20.76,-105.33,87.01,12.75
223,Lata,57,IN,1562887978,89,30.78,78.62,44.69,1.86
224,Beatrice,1,US,1562887980,40,40.27,-96.75,88.0,5.32
225,Hovd,0,NO,1562887981,93,63.83,10.7,52.0,11.41
226,Kahului,40,US,1562887819,34,20.89,-156.47,93.2,24.16
227,Chuy,100,UY,1562887983,81,-33.69,-53.46,57.47,9.53
228,Poum,26,MK,1562887984,81,41.28,20.71,49.91,4.0
229,Mount Gambier,40,AU,1562887985,71,-37.83,140.78,51.8,18.34
230,Imeni Poliny Osipenko,100,RU,1562887987,96,52.42,136.49,59.45,5.59
231,Kerewan,40,GM,1562887988,78,13.49,-16.09,80.6,3.36
232,Gasa,100,BT,1562887989,96,27.91,89.73,40.01,3.53
233,Vila Franca do Campo,20,PT,1562887990,83,37.72,-25.43,69.8,5.82
234,Standerton,0,ZA,1562887991,46,-26.94,29.24,42.01,1.01
235,Leningradskiy,3,RU,1562887993,67,69.38,178.42,51.89,10.16
236,Cairns,90,AU,1562887902,83,-16.92,145.77,69.8,14.99
237,Port Blair,100,IN,1562887995,81,11.67,92.75,82.49,13.35
238,Matara,67,BI,1562887996,81,-3.48,29.48,49.73,1.03
239,Shimoda,75,JP,1562887997,94,34.7,138.93,71.6,12.75
240,Balgazyn,100,RU,1562887999,79,51.0,95.2,54.95,4.65
241,Biak,100,ID,1562888000,96,-0.91,122.88,64.49,5.53
242,Merrill,1,US,1562887751,26,42.03,-121.6,86.0,9.17
243,Yaan,83,NG,1562888002,94,7.38,8.57,71.33,3.04
244,Pekan,75,MY,1562888003,94,3.49,103.39,77.0,3.36
245,Linxia,0,CN,1562888004,62,35.6,103.21,55.67,4.45
246,Tulle,0,FR,1562888006,72,45.27,1.77,71.01,1.12
247,Latung,37,ID,1562888007,67,-8.45,120.42,73.67,4.16
248,Turiacu,97,BR,1562888008,69,-5.01,-63.0,79.43,2.53
249,Myitkyina,100,MM,1562888009,99,25.38,97.4,71.33,1.86
250,Pinhao,0,BR,1562887827,93,-25.7,-51.66,52.07,1.61
251,Aswan,0,EG,1562888011,22,24.09,32.9,89.6,4.7
252,Bandarbeyla,92,SO,1562888013,63,9.49,50.81,79.61,28.36
253,Fortuna,20,US,1562888014,77,40.6,-124.16,68.0,16.11
254,Nome,40,US,1562888015,100,30.04,-94.42,93.99,3.36
255,Tromso,0,NO,1562888016,87,69.65,18.96,46.4,3.36
256,Loa Janan,24,ID,1562888017,94,-0.58,117.09,75.83,4.12
257,Itoman,75,JP,1562887828,89,26.12,127.67,84.2,5.82
258,Berlevag,0,NO,1562888020,81,70.86,29.09,43.97,6.76
259,Pringsewu,57,ID,1562888021,85,-5.36,104.98,69.35,3.0
260,Xiaoshi,100,CN,1562888022,86,30.59,116.63,73.85,4.47
261,Inuvik,75,CA,1562888023,57,68.36,-133.71,51.8,13.87
262,Idrinskoye,98,RU,1562888025,78,54.37,92.14,58.37,6.4
263,Borborema,0,BR,1562888026,52,-21.62,-49.07,63.23,5.7
264,Graaff-Reinet,0,ZA,1562888027,25,-32.25,24.53,56.39,4.16
265,Serowe,0,BW,1562888028,41,-22.4,26.7,49.19,3.69
266,Quatre Cocos,20,MU,1562887951,88,-20.21,57.76,68.0,4.7
267,Vardo,1,US,1562888031,88,39.62,-77.74,75.2,4.7
268,Chaozhou,75,CN,1562888032,100,23.66,116.62,80.6,4.47
269,Omsukchan,0,RU,1562888033,29,62.53,155.8,75.83,2.84
270,Xinzhi,40,TW,1562888034,94,22.54,120.62,82.99,4.7
271,Neuquen,0,AR,1562888026,70,-38.95,-68.06,46.4,3.36
272,Gataivai,40,WS,1562888036,74,-13.77,-172.39,87.8,11.41
273,Verkhnevilyuysk,95,RU,1562888038,52,63.45,120.31,76.73,3.58
274,Casper,1,US,1562888039,11,42.87,-106.31,96.01,12.75
275,Khatanga,50,RU,1562888040,52,71.98,102.47,52.79,10.16
276,Kodiak,1,US,1562888041,16,39.95,-94.76,86.0,8.05
277,Riyadh,0,SA,1562887973,10,24.63,46.72,86.0,8.05
278,Blythe,1,US,1562888044,10,33.61,-114.59,107.6,17.22
279,Port Elizabeth,75,US,1562888045,88,39.31,-74.98,81.0,6.93
280,Dauphin,1,CA,1562888046,61,51.15,-100.04,80.6,12.75
281,Mercedes,100,UY,1562888047,95,-33.25,-58.03,60.71,3.29
282,Fengcheng,81,CN,1562888048,85,40.45,124.07,69.89,2.89
283,Verkhoyansk,75,RU,1562888050,40,67.55,133.39,75.65,5.06
284,Itarema,9,BR,1562887825,83,-2.92,-39.92,74.75,5.82
285,Margate,75,AU,1562888052,61,-43.03,147.26,48.2,19.46
286,Champerico,75,MX,1562888053,61,16.38,-93.6,80.6,14.99
287,Naze,100,NG,1562888054,97,5.43,7.07,72.05,3.31
288,Cumbum,100,IN,1562888056,67,15.58,79.11,79.07,10.38
289,Homer,1,US,1562887762,72,59.64,-151.54,68.0,13.87
290,Teguldet,0,RU,1562888058,62,57.31,88.17,57.65,2.33
291,Tateyama,75,JP,1562888059,83,36.66,137.31,78.01,6.93
292,Severo-Kurilsk,97,RU,1562888060,96,50.68,156.12,43.25,7.92
293,Beloha,0,MG,1562888062,86,-25.17,45.06,58.73,4.41
294,Vestmannaeyjar,100,IS,1562888063,90,63.44,-20.27,53.33,10.58
295,Alfenas,0,BR,1562888064,70,-21.43,-45.95,54.23,2.68
296,Tezu,100,IN,1562888065,98,27.93,96.16,69.17,6.2
297,Oranjemund,0,ZA,1562888066,90,-28.55,16.43,55.49,12.44
298,Lakes Entrance,28,AU,1562888068,52,-37.88,147.99,62.01,5.99
299,Bambous Virieux,20,MU,1562888023,88,-20.34,57.76,68.0,4.7
300,Sao Jose da Coroa Grande,58,BR,1562888070,94,-8.9,-35.15,69.71,1.92
301,Ancud,75,CL,1562888071,100,-41.87,-73.83,44.6,6.93
302,Lazaro Cardenas,75,MX,1562888072,19,28.39,-105.62,95.0,11.41
303,Shenkursk,38,RU,1562888074,97,62.11,42.91,37.31,3.51
304,Villefontaine,0,FR,1562888075,59,45.61,5.16,66.2,2.24
305,Gaogou,100,CN,1562888076,81,31.12,117.94,76.19,2.53
306,Hauterive,75,CA,1562888077,67,49.18,-68.27,60.01,16.11
307,Suarez,20,CO,1562888078,48,4.05,-74.83,82.4,6.93
308,Provost,27,CA,1562888079,64,52.35,-110.26,68.27,8.9
309,San Quintin,0,PH,1562888081,78,17.54,120.52,80.87,3.04
310,Narsaq,20,GL,1562888082,58,60.91,-46.05,53.6,8.05
311,Mujiayingzi,56,CN,1562888083,55,42.12,118.78,68.09,3.44
312,Bilibino,47,RU,1562888084,27,68.06,166.44,79.43,10.54
313,Faya,20,SA,1562888085,49,18.39,42.45,73.4,4.7
314,Coari,19,BR,1562888087,93,-4.09,-63.14,74.75,2.91
315,Sioux Lookout,40,CA,1562887888,41,50.1,-91.92,78.8,8.05
316,Aktau,0,KZ,1562888089,69,43.65,51.16,73.4,4.47
317,Zhuzhou,90,CN,1562888090,100,27.84,113.15,75.2,4.47
318,Acapulco,75,MX,1562888042,70,16.86,-99.88,87.8,6.93
319,Beirut,0,LB,1562887836,65,33.9,35.48,80.6,9.17
320,Prykolotne,0,UA,1562888094,94,50.16,37.35,52.43,5.3
321,Nyurba,9,RU,1562888095,52,63.29,118.35,76.55,3.42
322,Klaksvik,28,FO,1562888096,100,62.23,-6.59,50.0,10.29
323,Am Timan,100,TD,1562888097,89,11.04,20.28,72.05,3.71
324,Sabya,40,SA,1562888098,41,17.15,42.62,96.8,3.36
325,Vista Hermosa,75,MX,1562888100,70,14.92,-92.27,86.0,6.93
326,Rehoboth,0,NA,1562888101,24,-23.31,17.08,49.01,6.4
327,Iqaluit,90,CA,1562888102,81,63.75,-68.52,50.0,20.8
328,Samagaltay,100,RU,1562888103,82,50.6,95.0,54.23,8.12
329,Goulburn,98,AU,1562888104,73,-34.75,149.72,50.0,1.99
330,Sao Lourenco do Sul,99,BR,1562887831,82,-31.37,-51.98,60.71,8.86
331,Fort Nelson,75,CA,1562888107,23,58.81,-122.69,82.4,12.75
332,Aripuana,35,BR,1562888108,63,-9.17,-60.63,77.63,0.92
333,Dingle,69,PH,1562888075,83,11.0,122.67,79.97,3.31
334,Camacupa,0,AO,1562888110,33,-12.02,17.48,53.15,2.66
335,Makakilo City,75,US,1562888111,54,21.35,-158.09,91.0,16.11
336,Assiniboia,72,CA,1562888113,59,49.63,-105.99,74.21,6.8
337,Akdepe,0,TM,1562888114,47,42.05,59.39,80.6,9.17
338,Alice Springs,100,AU,1562888115,45,-23.7,133.88,48.2,3.36
339,Discovery Bay,20,JM,1562888116,52,18.46,-77.4,89.6,12.75
340,Maple Creek,72,CA,1562888117,38,49.91,-109.46,77.81,13.24
341,Bukama,15,CD,1562888119,37,-9.2,25.85,65.39,2.84
342,Mar del Plata,0,AR,1562888120,66,-46.43,-67.52,41.09,6.04
343,Camacha,40,PT,1562888121,77,33.08,-16.33,71.6,18.34
344,Hofn,98,IS,1562888122,96,64.25,-15.21,40.73,4.76
345,Pilar,90,AR,1562887937,87,-34.46,-58.91,57.2,5.82
346,Salumbar,70,IN,1562888124,74,24.14,74.05,79.97,12.66
347,Maldonado,0,UY,1562888126,87,-34.91,-54.96,57.2,9.17
348,Kampot,20,KH,1562888127,94,10.62,104.18,77.0,2.24
349,West Bay,90,CA,1562888128,73,49.34,-123.21,73.99,10.29
350,Ko Samui,20,TH,1562888090,88,9.54,99.94,80.6,6.46
351,Arman,0,RU,1562888130,50,59.7,150.17,74.93,5.57
352,Nemuro,100,JP,1562888132,85,43.32,145.57,56.03,15.7
353,Riverton,1,US,1562888049,11,43.02,-108.38,96.01,16.11
354,San Francisco del Mar,99,MX,1562888134,69,16.34,-94.51,84.83,5.99
355,Sobradinho,100,BR,1562888135,97,-29.41,-53.03,59.81,2.93
356,Bathsheba,40,BB,1562888136,74,13.22,-59.52,82.4,16.11
357,Cedar City,1,US,1562888137,12,37.68,-113.06,93.2,10.29
358,Nerchinsk,41,RU,1562888139,45,51.98,116.59,75.83,4.59
359,Moanda,29,CD,1562888140,86,-5.93,12.38,73.49,12.46
360,Cassilandia,0,BR,1562888141,44,-19.11,-51.73,63.05,5.1
361,Zyryanka,83,RU,1562888142,57,65.73,150.89,77.09,20.04
362,Turukhansk,94,RU,1562888143,63,65.8,87.96,60.53,14.09
363,Gat,64,SN,1562888144,78,14.69,-16.54,75.2,6.93
364,Pangnirtung,90,CA,1562888146,40,66.15,-65.72,69.8,13.87
365,Begun,92,IN,1562888147,75,24.99,75.01,79.07,18.99
366,San Cristobal,46,HN,1562888148,68,14.68,-86.92,73.67,9.69
367,Mount Isa,87,AU,1562888149,26,-20.73,139.49,62.6,6.93
368,Coahuayana,96,MX,1562888151,82,18.62,-100.35,81.95,2.24
369,Solnechnyy,100,RU,1562888152,98,50.72,136.64,59.63,3.24
370,Avera,40,US,1562888153,55,33.19,-82.53,93.2,5.82
371,Karratha,0,AU,1562888154,25,-20.74,116.85,70.43,15.32
372,Saint Lawrence,0,MT,1562888155,83,36.06,14.2,78.01,5.82
373,Sitka,56,US,1562888157,47,37.17,-99.65,88.0,4.0
374,Tagusao,100,PH,1562888158,77,9.19,117.81,81.05,2.26
